,index,start,arrival,KPrange,Kp,K,InRangeGlobal,InRangeLocal,timingKp,timingK,Onsetdst
71,CME-20240523T071200,2024-05-23T07:12:00,2024-05-27T01:30:00,2.0 - 4.5,1,1,no,no,M,M,FA
72,CME-20240529T144800,2024-05-29T14:48:00,2024-06-01T11:04:00,3.4 - 5.2,1,1,no,no,M,M,FA
73,CME-20240529T150000,2024-05-29T15:00:00,2024-05-31T09:00:00,6.0 - 8.0,2.33333333,3,no,no,FA,FA,FA
74,CME-20240601T200000,2024-06-01T20:00:00,2024-06-04T10:32:00,3.33333 - 5.66667,2,2,no,no,M,M,FA
75,CME-20240605T164800,2024-06-05T16:48:00,2024-06-09T07:57:00,3.0 - 4.0,1,3,no,yes,M,H,FA
76,CME-20240608T015300,2024-06-08T01:53:00,2024-06-10T09:31:00,4.38143 - 6.28571,1,1,no,no,M,M,M
77,CME-20240613T000600,2024-06-13T00:06:00,2024-06-16T03:00:00,3.66667 - 5.66667,2.66666667,2,no,no,M,M,FA
78,CME-20240625T050000,2024-06-25T05:00:00,2024-06-28T16:08:00,2.945 - 4.945,7.66666667,6,no,no,H,H,H
79,CME-20240625T132500,2024-06-25T13:25:00,2024-06-29T05:00:00,3.0 - 4.0,2.66666667,3,no,yes,H,H,H
80,CME-20240625T234800,2024-06-25T23:48:00,2024-06-29T17:41:00,2.75 - 5.0,2.66666667,3,no,yes,H,H,H
81,CME-20240628T003600,2024-06-28T00:36:00,2024-07-01T14:56:00,3.0 - 5.0,1.66666667,2,no,no,M,M,FA
82,CME-20240629T040000,2024-06-29T04:00:00,2024-07-03T04:01:00,2.25 - 3.5,1,1,no,no,FA,H,FA
83,CME-20240629T161200,2024-06-29T16:12:00,2024-07-03T00:39:00,3.6 - 5.8,1.33333333,0,no,no,FA,FA,FA
84,CME-20240630T034800,2024-06-30T03:48:00,2024-07-04T10:00:00,2.0 - 4.0,1.33333333,2,no,yes,M,H,FA
85,CME-20240701T113600,2024-07-01T11:36:00,2024-07-05T13:03:00,3.0 - 4.0,2,2,no,no,H,H,FA
86,CME-20240709T062400,2024-07-09T06:24:00,2024-07-13T12:00:00,2.0 - 3.0,0.33333333,1,no,no,M,M,FA
87,CME-20240716T084800,2024-07-16T08:48:00,2024-07-20T10:00:00,2.0 - 4.0,2,3,yes,yes,H,H,FA
88,CME-20240716T231200,2024-07-16T23:12:00,2024-07-19T23:15:00,3.66667 - 6.0,1,1,no,no,FA,FA,FA
89,CME-20240716T232300,2024-07-16T23:23:00,2024-07-19T23:42:00,3.5 - 5.25,1,1,no,no,FA,M,FA
90,CME-20240717T074800,2024-07-17T07:48:00,2024-07-20T11:50:00,3.0 - 4.66667,1.66666667,2,no,no,FA,M,FA
91,CME-20240719T213600,2024-07-19T21:36:00,2024-07-23T03:00:00,2.5 - 4.0,0.66666667,0,no,no,M,M,FA
